fips,state,year,no_hs,col
38000,ND,2000,-3.5,-2.3999999999999986
39000,OH,2000,-2.6000000000000014,-3.299999999999997
40000,OK,2000,-0.20000000000000284,-4.099999999999998
41000,OR,2000,-4.700000000000001,0.7000000000000028
42000,PA,2000,-1.5,-2.0
44000,RI,2000,2.3999999999999986,1.2000000000000028
45000,SC,2000,4.099999999999998,-4.0
46000,SD,2000,-4.200000000000001,-2.8999999999999986
47000,TN,2000,4.5,-4.799999999999997
48000,TX,2000,4.699999999999999,-1.1999999999999993
49000,UT,2000,-7.300000000000001,1.7000000000000028
50000,VT,2000,-6.000000000000002,5.0
51000,VA,2000,-1.1000000000000014,5.100000000000001
53000,WA,2000,-6.700000000000001,3.3000000000000007
54000,WV,2000,5.199999999999999,-9.599999999999998
55000,WI,2000,-4.700000000000001,-2.0
56000,WY,2000,-7.500000000000002,-2.5
72000,PR,2000,20.4,-6.099999999999998
01000,AL,2019,1.8000000000000007,-6.600000000000001
02000,AK,2019,-4.8,-2.5
04000,AZ,2019,0.9000000000000004,-2.6000000000000014
05000,AR,2019,1.4000000000000004,-9.100000000000001
06000,CA,2019,4.699999999999999,1.7999999999999972
08000,CO,2019,-3.6999999999999993,8.799999999999997
09000,CT,2019,-2.5999999999999996,7.199999999999996
10000,DE,2019,-2.0,-0.10000000000000142
11000,DC,2019,-2.9000000000000004,26.4
12000,FL,2019,-0.1999999999999993,-2.200000000000003
13000,GA,2019,0.9000000000000004,-0.8000000000000007
15000,HI,2019,-4.0,0.8999999999999986
16000,ID,2019,-2.8000000000000007,-4.5
17000,IL,2019,-1.1999999999999993,2.6000000000000014
18000,IN,2019,-0.8000000000000007,-5.600000000000001
19000,IA,2019,-4.1,-3.5
20000,KS,2019,-3.0,1.2999999999999972
21000,KY,2019,1.6999999999999993,-7.900000000000002
22000,LA,2019,2.8000000000000007,-8.0
23000,ME,2019,-4.6,-0.3000000000000007
24000,MD,2019,-2.1999999999999993,8.100000000000001
25000,MA,2019,-2.8000000000000007,11.600000000000001
26000,MI,2019,-2.8000000000000007,-3.0
27000,MN,2019,-5.1,4.0
28000,MS,2019,3.5,-10.100000000000001
29000,MO,2019,-1.9000000000000004,-2.900000000000002
30000,MT,2019,-5.6,-0.10000000000000142
31000,NE,2019,-3.4000000000000004,-0.20000000000000284
32000,NV,2019,1.3000000000000007,-7.400000000000002
33000,NH,2019,-5.1,4.899999999999999
34000,NJ,2019,-1.8000000000000007,7.600000000000001
35000,NM,2019,2.4000000000000004,-4.800000000000001
36000,NY,2019,1.1999999999999993,4.5
37000,NC,2019,0.1999999999999993,-0.8000000000000007
38000,ND,2019,-4.6,-2.1000000000000014
39000,OH,2019,-2.4000000000000004,-3.8000000000000007
40000,OK,2019,0.0,-6.600000000000001
41000,OR,2019,-2.6999999999999993,1.6000000000000014
42000,PA,2019,-2.5,-0.7000000000000028
44000,RI,2019,-0.8000000000000007,2.1000000000000014
45000,SC,2019,0.5,-4.0
46000,SD,2019,-3.6999999999999993,-3.3000000000000007
47000,TN,2019,0.5,-4.800000000000001
48000,TX,2019,4.300000000000001,-2.200000000000003
49000,UT,2019,-4.3,1.8999999999999986
50000,VT,2019,-4.7,5.899999999999999
51000,VA,2019,-1.6999999999999993,6.699999999999996
53000,WA,2019,-3.3000000000000007,3.8999999999999986
54000,WV,2019,1.0999999999999996,-11.5
55000,WI,2019,-4.2,-2.0
56000,WY,2019,-5.2,-4.700000000000003
72000,PR,2019,11.5,-6.200000000000003
